學年度,縣市代碼,縣市名稱,學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
103,9,雲林縣,91316,私立揚子高中,32,38,0,0,9,13,19,423,342,155,95
103,9,雲林縣,91318,財團法人義峰高中,19,15,0,0,5,10,29,613,508,221,182
103,9,雲林縣,91319,私立福智高中,4,24,0,0,2,10,12,206,231,50,63
103,9,雲林縣,91320,雲林縣維多利亞實驗高中,11,13,7,3,2,9,4,46,51,20,11
103,9,雲林縣,94301,縣立斗南高中,50,81,0,0,2,12,18,297,311,113,105
103,9,雲林縣,94307,縣立麥寮高中,61,88,10,3,5,14,24,301,250,90,89
103,9,雲林縣,94308,縣立古坑華德福實驗高級中學,7,8,0,0,0,0,3,17,13,0,0
103,10,嘉義縣,100301,國立東石高中,60,40,9,8,13,12,38,937,436,307,146
103,10,嘉義縣,100302,國立新港藝術高中,21,22,1,4,2,11,18,236,321,64,114
103,10,嘉義縣,101303,私立同濟高中,11,13,0,1,4,2,7,136,72,11,9
103,10,嘉義縣,101304,私立協同高中,51,51,2,3,9,14,22,475,461,166,159
103,10,嘉義縣,104319,縣立竹崎高中,39,54,1,5,1,7,11,173,149,45,59
103,10,嘉義縣,104326,縣立永慶高中,24,37,4,1,3,4,10,112,160,42,41
103,11,臺南市,110302,國立新豐高中,39,50,7,8,6,13,39,624,744,237,232
103,11,臺南市,110308,國立臺南大學附中,54,69,6,4,9,18,51,824,1097,244,343
103,11,臺南市,110311,國立北門高中,37,38,0,0,6,11,31,500,575,187,213
103,11,臺南市,110312,國立新營高中,29,60,3,4,5,14,35,422,663,171,243
103,11,臺南市,110314,國立後壁高中,40,48,0,0,8,15,31,457,434,161,168
103,11,臺南市,110315,國立善化高中,32,41,7,7,6,12,31,568,466,174,182
103,11,臺南市,110317,國立新化高中,41,43,5,3,5,13,36,581,740,160,232
103,11,臺南市,110328,國立南科國際實驗高中,36,59,0,0,5,16,12,203,154,64,56
103,11,臺南市,111313,私立南光高中,33,45,0,0,3,9,22,536,480,189,145
103,11,臺南市,111318,私立鳳和高中,19,18,1,2,0,5,6,123,90,48,53
103,11,臺南市,111320,私立港明高中,84,43,1,2,3,11,44,1208,726,445,270
103,11,臺南市,111321,臺南市興國高中,79,66,0,0,3,18,37,880,617,331,258
103,11,臺南市,111322,私立明達高中,21,10,2,3,3,5,8,162,140,70,58
103,11,臺南市,111323,私立黎明高中,50,35,5,6,5,15,23,592,422,217,159
103,11,臺南市,111326,私立新榮高中,29,28,12,4,7,9,39,705,336,288,147
103,11,臺南市,114306,市立大灣高中,53,126,13,20,3,12,18,359,372,122,116
103,11,臺南市,114307,市立永仁高中,31,71,7,18,2,10,12,236,238,62,79
103,12,高雄市,120303,國立鳳山高中,52,78,1,5,4,18,54,1232,864,402,303
103,12,高雄市,120304,國立岡山高中,37,68,1,1,4,15,45,846,836,252,297
103,12,高雄市,120311,國立旗美高中,21,48,8,9,3,15,28,322,540,117,232
103,12,高雄市,120319,國立鳳新高中,48,86,20,51,5,17,57,1089,1123,340,378
103,12,高雄市,121306,財團法人新光高中,13,13,0,0,3,3,22,210,155,58,36
103,12,高雄市,121307,財團法人普門中學,26,29,11,14,3,10,15,260,167,119,68
103,12,高雄市,121318,私立正義高中,13,27,7,3,0,8,12,248,185,153,127
103,12,高雄市,121320,私立義大國際高中,14,17,17,20,5,3,6,127,102,39,35
103,12,高雄市,124302,市立文山高中,42,87,1,3,3,10,24,435,423,127,150
103,12,高雄市,124311,市立林園高中,72,133,0,0,6,13,18,281,303,87,100
103,12,高雄市,124313,市立仁武高中,55,68,1,1,3,9,21,329,277,137,107
103,12,高雄市,124322,市立路竹高中,54,104,10,12,6,7,21,300,279,98,122
103,12,高雄市,124333,市立六龜高中,21,27,1,2,5,3,8,87,65,36,35
103,12,高雄市,124340,市立福誠高中,53,97,8,11,3,10,21,384,371,111,118
103,13,屏東縣,130302,國立屏東女中,37,71,13,50,2,18,48,14,1797,2,610
103,13,屏東縣,130305,國立屏東高中,64,65,0,0,8,20,57,2075,51,660,20
103,13,屏東縣,130306,國立潮州高中,46,50,0,0,5,15,42,740,844,229,289
103,13,屏東縣,130322,國立屏北高中,34,40,1,2,5,10,30,353,641,165,188
103,13,屏東縣,131307,財團法人屏榮高中,53,65,23,49,6,10,75,1622,1452,618,579
103,13,屏東縣,131308,私立陸興高中,18,10,14,7,5,9,13,270,190,117,87
103,13,屏東縣,131311,私立美和高中,41,27,0,0,3,8,20,480,246,161,91
103,13,屏東縣,134304,縣立大同高中,45,82,0,0,4,7,21,220,492,61,161
103,13,屏東縣,134321,縣立枋寮高中,34,59,0,0,3,9,13,181,161,73,51
103,13,屏東縣,134324,縣立東港高中,80,111,0,0,4,9,14,261,249,86,70
103,13,屏東縣,134334,縣立來義高中,22,27,0,0,2,5,12,169,103,30,36
103,14,臺東縣,140301,國立臺東大學附屬體育高中,31,23,0,1,10,10,9,138,48,47,17
103,14,臺東縣,140302,國立臺東女中,28,38,0,0,3,13,27,14,947,3,335
103,14,臺東縣,140303,國立臺東高中,39,45,0,0,6,13,33,1054,36,333,9
103,14,臺東縣,141307,私立育仁高中,16,10,3,4,0,4,9,67,101,15,12
103,14,臺東縣,144322,縣立蘭嶼高中,6,14,0,0,5,3,3,34,8,14,9
103,15,花蓮縣,150302,國立花蓮女中,34,44,13,10,3,14,33,11,1176,5,410
103,15,花蓮縣,150303,國立花蓮高中,46,47,10,24,5,13,39,1297,38,415,12
103,15,花蓮縣,150309,國立玉里高中,32,52,9,10,12,7,34,294,258,88,101
103,15,花蓮縣,151306,私立海星高中,39,59,12,11,6,18,33,606,872,179,326
103,15,花蓮縣,151307,私立四維高中,49,50,14,3,8,16,45,1140,886,422,318
103,15,花蓮縣,151312,財團法人慈濟大學附中,33,35,6,1,9,9,15,266,280,86,80
103,15,花蓮縣,154301,花蓮縣立體育高中,12,8,0,1,2,8,6,93,35,27,15
103,15,花蓮縣,154399,縣立南平中學,2,10,0,0,2,4,3,0,26,0,1
103,16,澎湖縣,160302,國立馬公高中,48,55,13,25,7,14,48,690,750,198,266
103,17,基隆市,170301,國立基隆女中,42,84,4,10,5,21,54,0,2009,0,753
103,17,基隆市,170302,國立基隆高中,46,61,15,43,7,16,43,1172,87,485,43
103,17,基隆市,171306,私立二信高中,85,98,8,7,14,25,65,1600,1056,565,469
103,17,基隆市,171308,輔大聖心高中,31,35,4,1,4,9,28,533,244,173,118
103,17,基隆市,173304,市立中山高中,33,55,10,1,6,9,12,200,148,63,39
103,17,基隆市,173306,市立安樂高中,34,57,7,6,2,12,12,244,144,96,38
103,17,基隆市,173307,市立暖暖高中,19,47,0,0,4,7,12,275,101,100,35
103,17,基隆市,173314,市立八斗高中,27,50,0,2,2,8,12,104,94,0,0
103,18,新竹市,180301,國立科學工業園區實驗高中,36,80,9,17,4,25,21,349,278,125,81
103,18,新竹市,180302,國立新竹女中,33,96,0,5,1,23,54,19,2153,9,711
103,18,新竹市,180309,國立新竹高中,57,78,18,49,4,21,57,2236,62,722,21
103,18,新竹市,181305,私立光復高中,85,131,40,48,9,26,122,2901,2374,867,837
103,18,新竹市,181306,私立曙光女中,20,64,3,4,1,11,24,0,1103,0,367
103,18,新竹市,181307,私立磐石高中,49,63,10,14,12,14,42,1237,632,409,178
103,18,新竹市,181308,私立世界高中,24,50,4,4,10,18,47,644,743,259,267
103,18,新竹市,183306,市立成德高中,28,91,0,0,0,15,27,547,420,153,125
103,18,新竹市,183307,市立香山高中,35,85,13,9,2,14,24,418,423,122,145
103,18,新竹市,183313,市立建功高中,26,108,0,0,3,13,21,441,432,137,150
103,19,臺中市,190301,國立臺中女中,49,79,4,12,4,18,54,0,2218,0,750
103,19,臺中市,190302,國立臺中一中,102,75,0,0,7,23,75,2960,81,1002,21
103,19,臺中市,190303,國立臺中二中,71,86,8,10,9,21,69,1733,907,656,215
103,19,臺中市,190315,國立文華高中,49,93,2,23,5,24,60,753,1550,280,532
103,19,臺中市,191301,私立東大附中,32,44,4,7,4,5,18,381,438,119,151
103,19,臺中市,191302,私立葳格高中,45,77,3,7,11,26,48,1048,1132,0,0
103,19,臺中市,191305,私立新民高中,108,127,40,80,17,28,127,2710,3049,815,932
103,19,臺中市,191308,私立宜寧高中,34,70,14,15,3,18,54,1373,1164,452,398
